"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4052,"0604261N","Acoustic Search Sensors",5,"System Development & Demonstration",1319,,2003,13929,13621,13311,,,,,
4053,"0702806F","Acquisition and Management Support",7,,3600,,2003,0,0,0,,,,,
4054,"0702806F","Acquisition and Management Support",6,"Management Support",3600,,2003,0,0,0,,,,,
4055,"0605019D8Z","Acquisition Domain",5,,400,,2003,0,0,0,,,,,
4056,"0602905F","Adaptive Versatile Engine Technology (ADVENT)",2,"Applied Research",3605,,2003,0,0,0,,,,,
4057,"0203726A","Adv Field Artillery Tactical Data System",7,"Operational Systems Development",2040,,2003,38161,44978,44959,,,,,
4058,"0604501N","Advanced Above Water Sensors",5,"System Development & Demonstration",1319,,2003,0,0,0,,,,,
4059,"0603203F","Advanced Aerospace Sensors",3,"Advanced Technology Development",3600,,2003,50589,52482,50988,,,,,
4060,"0603285E","Advanced Aerospace Systems",3,,400,,2003,246000,235300,242095,,,,,
4061,"0603286E","Advanced Aerospace Systems",3,"Advanced Technology Development",400,,2003,0,0,0,,,,,
4062,"0603382N","Advanced Combat Systems Technology",4,"Advanced Component Development & Prototypes",1319,,2003,3350,3276,3214,,,,,
4063,"0207423F","Advanced Communications Systems",3,,3600,,2003,0,0,0,,,,,
4064,"0207423F","Advanced Communications Systems",4,,3600,,2003,0,0,0,,,,,
4065,"0207423F","Advanced Communications Systems",7,"Operational Systems Development",3600,,2003,29133,28485,27326,,,,,
4066,"0603750D8Z","Advanced Concept Technology Demonstrations",3,"Advanced Technology Development (ATD)",400,,2003,199580,200881,195136,,,,,
4067,"0603879C","Advanced Concepts, Evaluations And Systems",4,,400,,2003,0,0,0,,,,,
4068,"0101120F","Advanced Cruise Missile",7,,3600,,2003,2788,2727,2562,,,,,
4069,"0603660N","Advanced Development Projects",7,,1319,,2003,0,0,0,,,,,
4070,"0604756N","Ship Self Defense (Engage: Hard Kill)",5,"System Development & Demonstration",1319,,2003,19528,29367,26120,,,,,
4071,"0603430F","Advanced EHF MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,2003,825783,822477,802648,,,,,
4072,"0603270N","Advanced Electronic Warfare Technology",3,,1319,,2003,0,0,0,,,,,
4073,"0603739E","Advanced Electronics Technologies",3,"Advanced Technology Development",400,,2003,150400,158987,158847,,,,,
4074,"0304348F","Advanced Geospatial Intelligence (AGI)",7,,3600,"Classified (Named)",2003,0,0,0,,,,,
4075,"0634210N","Advanced High Energy HVAC System",4,"Advanced Component Development & Prototypes",1320,,2003,0,0,0,,,,,
4076,"0604764K","Advanced IT Services Joint Program Office (AITS-JPO)",5,"System Development And Demonstration",400,,2003,28393,27534,25480,,,,,
4077,"0603112F","Advanced Materials for Weapon Systems",3,"Advanced Technology Development",3600,,2003,21138,41159,39746,,,,,
4078,"0207163F","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",3600,,2003,37008,35537,39334,,,,,
4079,"0207163N","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",1319,,2003,8124,7928,7650,,,,,
4080,"0603570N","Advanced Nuclear Power Systems",4,"Advanced Component Development & Prototypes",1319,,2003,216091,211314,211314,,,,,
4081,"0633001A","Advanced Power Electronics Ground Systems Testbed Equipment",3,"Advanced Technology Development",2041,,2003,0,0,0,,,,,
4082,"0207591F","Advanced Program Evaluation",7,,3600,"Classified (Named)",2003,220088,232597,242161,,,,,
4083,"0207433F","Advanced Program Technology",7,,3600,"Classified (Named)",2003,104651,102683,100048,,,,,
4084,"0603714D8Z","Advanced Sensors Application Program",4,"Advanced Component Development And Prototypes",400,,2003,15994,15436,16914,,,,,
4085,"0603253F","Advanced Sensor Integration",3,,3600,,2003,0,0,0,,,,,
4086,"0603526N","Advanced Software and Computing Technology",4,,1319,,2003,0,0,0,,,,,
4087,"0603401F","Advanced Spacecraft Technology",3,"Advanced Technology Development",3600,,2003,42315,54884,52424,,,,,
4088,"0101815F","Advanced Strategic Programs",7,,3600,"Classified (Named)",2003,5879,5817,5817,,,,,
4089,"0603504N","Advanced Submarine Combat Systems Development",4,,1319,,2003,0,0,0,,,,,
4090,"0603561N","Advanced Submarine System Development",4,"Advanced Component Development & Prototypes",1319,,2003,107389,129601,126891,,,,,
4091,"0603573N","Advanced Surface Machinery Systems",4,"Advanced Component Development & Prototypes",1319,,2003,2931,2867,2807,,,,,
4092,"0603772A","Advanced Tactical Computer Science and Sensor Technology",3,"Advanced Technology Development",2040,,2003,21674,22153,26928,,,,,
4093,"0603653A","Advanced Tank Armament System (ATAS)",4,"Advanced Component Development & Prototypes",2040,,2003,124108,143296,150234,,,,,
4094,"0603792N","Advanced Technology Transition",3,,1319,,2003,0,2445,2381,,,,,
4095,"0603605F","Advanced Weapons Technology",3,"Advanced Technology Development",3600,,2003,28271,53381,71649,,,,,
4096,"0602307A","Advanced Weapons Technology",2,"Applied Research",2040,,2003,11208,19976,19785,,,,,
4097,"0603845F","Transformational SATCOM (TSAT)",4,"Advanced Component Development & Prototypes",3600,,2003,4982,117953,111485,,,,,
4098,"0603892C","AEGIS BMD",4,"Advanced Component Development And Prototypes",400,,2003,0,0,0,,,,,
4099,"0307207G","Aerial Common Sensor (ACS)",7,,400,,2003,0,0,0,,,,,
4100,"0307207A","Aerial Common Sensor (ACS)",7,"Operational Systems Development",2040,,2003,0,0,0,,,,,
4101,"0307207N","Aerial Common Sensor (ACS)",7,"Operational Systems Development",1319,,2003,0,0,0,,,,,
4102,"0305116F","Aerial Targets",7,"Operational Systems Development",3600,,2003,0,0,0,,,,,
4103,"0401133F","Aeromedical Evacuation",7,,3600,,2003,0,0,0,,,,,
4104,"0604703F","Aeromedical/Chemical Defense Systems",5,,3600,,2003,0,0,0,,,,,
4105,"0602201F","Aerospace Vehicle Technologies",2,"Applied Research",3600,,2003,78789,76347,75067,,,,,
4106,"0603726F","Aerospace Info Tech Sys Integration",3,,3600,,2003,0,0,0,,,,,
4107,"0207410F","Air & Space Operations Center (AOC)",7,"Operational Systems Development",3600,,2003,35875,71459,68890,,,,,
4108,"0602203F","Aerospace Propulsion",2,"Applied Research",3600,,2003,107659,132285,135403,,,,,
4109,"0603216F","Aerospace Propulsion and Power Technology",3,"Advanced Technology Development",3600,,2003,85650,88236,84067,,,,,
4110,"0603202F","Aerospace Propulsion Subsystems Integration",3,,3600,,2003,0,0,0,,,,,
4111,"0602204F","Aerospace Sensors",2,"Applied Research",3600,,2003,75799,76743,77172,,,,,
4112,"0603211F","Aerospace Technology Dev/Demo",3,"Advanced Technology Development",3600,,2003,22315,29002,27767,,,,,
4113,"0102419A","Aerostat Joint Project - EMD",7,"Operational Systems Development",2040,,2003,29081,28792,33489,,,,,
4114,"0207247F","AF TENCAP",7,"Operational Systems Development",3600,,2003,10496,15066,14157,,,,,
4115,"0605123D8Z","AFCC Engineering and Installation",6,,400,,2003,10702,900,862,,,,,
4116,"0602903F","Aft-Body Drag Reduction",2,"Applied Research",3605,,2003,0,0,0,,,,,
4117,"0604617F","Agile Combat Support",5,"System Development & Demonstration",3600,,2003,6318,7965,7870,,,,,
4118,"0603728D8Z","Agile Port Demonstration",3,,400,,2003,0,0,0,,,,,
4119,"0603327A","Air and Missile Defense Systems Engineering",4,"Advanced Component Development & Prototypes",2040,,2003,0,0,0,,,,,
4120,"0207027F","Air and Space Command and Control Agency (ASC2A)",7,,3600,,2003,0,0,0,,,,,
4121,"0602111N","Air and Surface Launched Weapons Technology",2,,1319,,2003,0,0,0,,,,,
4122,"0401214F","Air Cargo Material Handling (463-L) (Non-IF)",7,,3600,,2003,0,0,0,,,,,
