"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
4713,"0303158F","Joint Command and Control Program (JC2)",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4714,"0303158K","Joint Command and Control Program (JC2)",5,"System Development and Demonstration (SDD)",400,,2001,"Total",0,,0,,,0,,,
4715,"0303158M","Joint Command and Control Program (JC2)",3,,1319,,2001,"Total",0,,0,,,0,,,
4716,"0303158M","Joint Command and Control Program (JC2)",7,"Operational Systems Development",1319,,2001,"Total",0,,0,,,0,,,
4717,"0303158N","Joint Command and Control Program (JC2)",7,"Operational Systems Development",1319,,2001,"Total",0,,0,,,0,,,
4718,"0604653N","Joint Counter Radio Controlled IED Electronic Warfare (JCREW)",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",0,,0,,,0,,,
4719,"0605015N","Joint Counter-Intelligence Assessment Group (JCAG) - RDT&E",5,,1319,,2001,"Total",0,,0,,,0,,,
4720,"0602663D8Z","Data to Decisions Applied Research",2,"Applied Research",400,,2001,"Total",0,,0,,,0,,,
4721,"0603663D8Z","Data to Decisions Advanced Technology Development",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4722,"0604618F","Joint Direct Attack Munition",5,"System Development & Demonstration",3600,,2001,"Total",1157,,11055,,,10654,,,
4723,"0604618N","Joint Direct Attack Munition",5,,1319,,2001,"Total",26151,,28845,,,28066,,,
4724,"0603225D8Z","Joint DoD-DoE Munitions Technology Development",3,"Advanced Technology Development",400,,2001,"Total",16670,,16516,,,16516,,,
4725,"0604330F","Joint Dual Role Air Dominance Missile",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",0,,0,,,0,,,
4726,"0303191D8Z","Joint Electromagnetic Technology (JET) Program",4,"Advanced Component Development And Prototypes",400,,2001,"Total",0,,0,,,0,,,
4727,"0603618D8Z","Joint Electronic Advanced Technology",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4728,"0207028F","Joint Expeditionary Force Experiment",7,,3600,,2001,"Total",0,,0,,,0,,,
4729,"0603828D8Z","Joint Experimentation",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4730,"0604828D8Z","Joint FIRES Integration and Interoperability Team",4,"Advanced Component Development And Prototypes",400,,2001,"Total",0,,0,,,0,,,
4731,"0604012F","Joint Helmet Mounted Cueing System (JHMCS)",5,,3600,,2001,"Total",1312,,1300,,,1439,,,
4732,"0207170F","Joint Helmet Mounted Cueing System (JHMCS)",2,,3600,,2001,"Total",0,,0,,,0,,,
4733,"0207170F","Joint Helmet Mounted Cueing System (JHMCS)",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4734,"0208058A","Joint High Speed Vessel (JHSV)",7,"Operational Systems Development",2040,,2001,"Total",0,,0,,,0,,,
4735,"0208058N","Joint High Speed Vessel (JHSV)",7,"Operational Systems Development",1319,,2001,"Total",0,,0,,,0,,,
4736,"0607828D8Z","Joint Integration and Interoperability",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4737,"0604779F","Joint Interoperability of Tactical Command & Control Systems (JINTACCS)",5,,3600,,2001,"Total",5825,,5771,,,5593,,,
4738,"0708071F","Joint Logistics Program - Ammunition Standard System",7,,3600,,2001,"Total",11238,,6635,,,10645,,,
4739,"0303260D8Z","Defense Military Deception Program Office (DMDPO)",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4740,"0305192N","Military Intelligence Program (MIP) Activities",7,"Operational Systems Development",1319,,2001,"Total",7000,,6936,,,6867,,,
4741,"0605100D8Z","Joint Mission Environment Test Capability (JMETC)",6,"Management Support",400,,2001,"Total",0,,0,,,0,,,
4742,"1160423BB","Joint Multi-Mission Submersible",7,"Operational Systems Development",400,,2001,"Total",0,,0,,,0,,,
4743,"0804757F","Joint National Training Center",3,,3600,,2001,"Total",0,,0,,,0,,,
4744,"0804757F","Joint National Training Center",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4745,"0604783A","Joint Network Management System",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
4746,"0602651M","Joint Non-Lethal Weapons Applied Research",2,"Applied Research",1319,,2001,"Total",0,,0,,,0,,,
4747,"0603651M","Joint Non-Lethal Weapons Technology Development",3,"Advanced Technology Development",1319,,2001,"Total",0,,0,,,0,,,
4748,"0901202F","Joint Personnel Recovery Agency",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4749,"0603860F","Joint Precision Approach and Landing Systems - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",18092,,17926,,,18164,,,
4750,"0603860N","Joint Precision Approach and Landing Systems - Dem/Val",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",0,,0,,,0,,,
4751,"0603709D8Z","Joint Robotics Program",4,"Advanced Component Development And Prototypes",400,,2001,"Total",10294,,13667,,,13667,,,
4752,"0604709D8Z","Joint Robotics Program - EMD",5,"System Development And Demonstration",400,,2001,"Total",11553,,14915,,,14915,,,
4753,"0603711D8Z","Joint Robotics Program/Autonomous Systems",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4754,"0604722D8Z","Joint Service Education and Training Systems Development",4,,400,,2001,"Total",0,,2973,,,2973,,,
4755,"0604654N","Joint Service Explosive Ordnance Development",5,"System Development & Demonstration",1319,,2001,"Total",7102,,7037,,,6606,,,
4756,"0603654N","Joint Service Explosive Ordnance Development",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",13131,,14546,,,13994,,,
4757,"0603607A","Joint Service Small Arms Program",3,"Advanced Technology Development",2040,,2001,"Total",4469,,4428,,,11809,,,
4758,"0602623A","Joint Service Small Arms Program",2,"Applied Research",2040,,2001,"Total",5415,,5365,,,5223,,,
4759,"0605452F","Joint SIAP Executive Program Office",5,"System Development & Demonstration",3600,,2001,"Total",0,,0,,,0,,,
4760,"0902740J","Joint Simulation System",7,,400,,2001,"Total",24095,,41708,,,41708,,,
4761,"0303153K","Joint Spectrum Center",2,,400,,2001,"Total",0,,0,,,0,,,
4762,"0303153K","Defense Spectrum Organization",7,"Operational System Development",400,,2001,"Total",8735,,8198,,,8194,,,
4763,"0204571J","Joint Staff Analytical Support",7,"Operational Systems Development",400,,2001,"Total",0,,0,,,0,,,
4764,"0204571J","Joint Staff Analytical Support",6,"Management Support",400,,2001,"Total",0,,0,,,0,,,
4765,"0604727N","Joint Standoff Weapon Systems",5,"System Development & Demonstration",1319,,2001,"Total",20823,,27694,,,26653,,,
4766,"0604727F","Joint Standoff Weapons Systems",5,,3600,,2001,"Total",1498,,1485,,,1412,,,
4767,"0603800F","Joint Strike Fighter",4,,3600,,2001,"Total",129538,,240821,,,341167,,,
4768,"0604800F","F-35 - EMD",5,"System Development & Demonstration",3600,,2001,"Total",299540,,100346,,,0,,,
4769,"0603800N","Joint Strike Fighter (JSF) - Dem/Val",4,,1319,,2001,"Total",131566,,240820,,,341164,,,
4770,"0604800N","Joint Strike Fighter (JSF) - EMD",5,"System Development & Demonstration",1319,,2001,"Total",295962,,100344,,,0,,,
4771,"0207581F","Joint Surveillance/Target Attack Radar System (JSTARS)",7,"Operational Systems Development",3600,,2001,"Total",144118,,147750,,,145592,,,
4772,"0102325F","Atmospheric Early Warning System",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4773,"0604770A","Joint Surveillance/Target Attack Radar System",5,,2040,,2001,"Total",17898,,28632,,,28133,,,
4774,"0604875D8Z","Joint Systems Architecture Development",6,"Management Support",400,,2001,"Total",0,,0,,,0,,,
4775,"0604787D8Z","Joint Systems Integration Command (JSIC)",4,"Advanced Component Development And Prototypes",400,,2001,"Total",0,,0,,,0,,,
4776,"0208010A","Joint Tactical Communications Program (TRI-TAC)",7,"Operational Systems Development",2040,,2001,"Total",38926,,38563,,,35423,,,
4777,"0208053A","Joint Tactical Ground System",7,"Operational Systems Development",2040,,2001,"Total",6267,,6208,,,6209,,,
4778,"0604771D8Z","Joint Tactical Information Distribution System (JTIDS)",5,"System Development And Demonstration",400,,2001,"Total",16250,,16100,,,16100,,,
4779,"0604754F","Joint Tactical Information Distribution System (JTIDS)",5,,3600,,2001,"Total",8745,,8665,,,8397,,,
4780,"0604280A","Joint Tactical Radio",5,"System Development & Demonstration",2040,,2001,"Total",62218,,61648,,,59814,,,
4781,"0604280F","Joint Tactical Radio",5,"System Development & Demonstration",3600,,2001,"Total",0,,0,,,0,,,
4782,"0603280A","Joint Tactical Radio System",3,,2040,,2001,"Total",0,,0,,,0,,,
4783,"0604280N","Joint Tactical Radio System - Navy (JTRS-Navy)",5,"System Development & Demonstration",1319,,2001,"Total",0,,0,,,0,,,
4784,"0605126J","Joint Integrated Air and Missile Defense Organization (JIAMDO)",6,"Management Support",400,,2001,"Total",21200,,21006,,,21006,,,
4785,"0603872C","Joint Theater Missile Defense - Dem/Val",4,,400,,2001,"Total",0,,0,,,0,,,
4786,"0604400D8Z","Department of Defense (DoD) Unmanned Aircraft System (UAS) Common Development",4,"Advanced Component Development And Prototypes",400,,2001,"Total",0,,0,,,0,,,
4787,"0604400F","Joint Unmanned Combat Air Systems (J-UCAS) Advanced Component and Prototype Deve",4,,3600,,2001,"Total",0,,0,,,0,,,
4788,"0603400D8Z","Joint Unmanned Combat Air Systems (J-UCAS) Advanced Technology Development and R",3,,400,,2001,"Total",0,,0,,,0,,,
4789,"0603400F","Joint Unmanned Combat Air Systems (J-UCAS) Advanced Technology Development and R",3,,3600,,2001,"Total",0,,0,,,0,,,
4790,"0603757N","Joint Warfare Experiments",3,,1319,,2001,"Total",0,,0,,,0,,,
4791,"0604787N","Joint Warfare Transformation Programs",4,,1319,,2001,"Total",0,,0,,,0,,,
4792,"0603727D8Z","Joint Warfighting Program",3,"Advanced Technology Development",400,,2001,"Total",7607,,7538,,,7538,,,
4793,"0603832D8Z","DoD Modeling and Simulation Management Office",3,"Advanced Technology Development",400,,2001,"Total",56971,,62390,,,62390,,,
4794,"0301144K","Joint/Allied Coalition Information Sharing",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4795,"0604738A","JSIMS Core Program",5,,2040,,2001,"Total",0,,0,,,0,,,
4796,"0305614F","JSPOC Mission System",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4797,"0909980F","Judgment Fund Reimbursement",6,"RDT&E Management Support",3600,,2001,"Total",0,,0,,,7206,,,
4798,"0401219F","KC-10s",7,"Operational Systems Development",3600,,2001,"Total",19526,,19347,,,18369,,,
4799,"0401221F","KC-135 Tanker Replacement",1,,3024,,2001,"Total",0,,0,,,0,,,
4800,"0401221F","KC-135 Tanker Replacement",7,,3024,,2001,"Total",0,,0,,,0,,,
4801,"0401221F","KC-135 Tanker Replacement",7,,3600,,2001,"Total",0,,0,,,0,,,
4802,"0401218F","KC-135s",7,"Operational Systems Development",3600,,2001,"Total",487,,483,,,452,,,
4803,"0303136G","Key Management Infrastructure (KMI)",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4804,"0603795N","Land Attack Technology",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",143044,,138956,,,140357,,,
4805,"0603764E","Land Warfare Technology",3,,400,,2001,"Total",134249,,129025,,,130610,,,
4806,"0634007D8Z","Landfill Gas Energy Capture",4,"Advanced Component Development & Prototypes",401,,2001,"Total",0,,0,,,0,,,
4807,"0604619A","Landmine Warfare",5,,2040,,2001,"Total",15902,,15756,,,19287,,,
4808,"0603619A","Landmine Warfare and Barrier - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2001,"Total",22803,,22594,,,17804,,,
4809,"0603606A","Landmine Warfare and Barrier Advanced Technology",3,"Advanced Technology Development",2040,,2001,"Total",20894,,20702,,,19922,,,
4810,"0604808A","Landmine Warfare/Barrier - Eng Dev",5,"System Development & Demonstration",2040,,2001,"Total",69584,,93717,,,84867,,,
4811,"0401134F","Large Aircraft IR Countermeasures (LAIRCM)",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4812,"0604706F","Life Support Systems",5,"System Development & Demonstration",3600,,2001,"Total",14758,,26215,,,16253,,,
4813,"0604642A","Light Tactical Wheeled Vehicles",5,"System Development & Demonstration",2040,,2001,"Total",9893,,9802,,,9171,,,
4814,"0604610N","Lightweight Torpedo Development",5,"System Development & Demonstration",1319,,2001,"Total",9347,,9262,,,9041,,,
4815,"0632006A","Lightweight, Flexible, Cost Effective Solar Energy Photovoltaics",2,"Applied Research",2041,,2001,"Total",0,,0,,,0,,,
4816,"0602234D8Z","Lincoln Laboratory Research Program",2,"Applied Research",400,,2001,"Total",18602,,19917,,,19917,,,
4817,"0603654A","Line-Of-Sight Technology Demonstration",3,,2040,,2001,"Total",50727,,50262,,,50262,,,
4818,"0603764N","LINK EVERGREEN",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2001,"Total",9712,,9623,,,9646,,,
4819,"0603748N","LINK PLUMERIA",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2001,"Total",42372,,41983,,,45604,,,
4820,"0207434F","Link-16 Support and Sustainment",5,"System Development & Demonstration",3600,,2001,"Total",0,,0,,,0,,,
4821,"0603581N","Littoral Combat Ship (LCS)",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",0,,0,,,0,,,
4822,"0605131OTE","Live Fire Test and Evaluation",6,"Management Support",460,,2001,"Total",0,,0,,,0,,,
4823,"0605131D8Z","Live Fire Testing",6,,460,,2001,"Total",9712,,17054,,,17054,,,
4824,"0603804A","Logistics and Engineer Equipment - Adv Dev",4,"Advanced Component Development & Prototypes",2040,,2001,"Total",6317,,6260,,,6127,,,
4825,"0604804A","Logistics and Engineer Equipment - Eng Dev",5,"System Development & Demonstration",2040,,2001,"Total",20457,,24333,,,23595,,,
4826,"0708610F","Logistics Information Technology (LOGIT)",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4827,"0708012F","Logistics Support Activities",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4828,"0708012S","Logistics Support Activities",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4829,"0603106F","Logistics Systems Technology",3,,3600,,2001,"Total",13895,,13768,,,13157,,,
4830,"0303126K","Long-Haul Communications - DCS",7,"Operational System Development",400,,2001,"Total",1416,,1346,,,1339,,,
4831,"0604819A","LOSAT",5,,2040,,2001,"Total",26800,,26555,,,25364,,,
4832,"0604311N","LPD-17 Class Systems Integration",5,"System Development & Demonstration",1319,,2001,"Total",273,,270,,,236,,,
4833,"0605878A","Maintenance and Repair (RPM) - RDT&E",6,,2040,,2001,"Total",0,,0,,,0,,,
4834,"0604759A","Major T&E Investment",6,"RDT&E Management Support",2040,,2001,"Total",44019,,43616,,,42380,,,
4835,"0604759F","Major T&E Investment",6,"Management Support",3600,,2001,"Total",54057,,67631,,,64635,,,
4836,"0604759N","Major T&E Investment",6,"Management Support",1319,,2001,"Total",40707,,45227,,,43838,,,
4837,"0902298J","Management HQ - OJCS",7,"Operational System Development",400,,2001,"Total",12540,,10490,,,10470,,,
4838,"0605898A","Management HQ - R&D",6,"RDT&E Management Support",2040,,2001,"Total",5371,,8293,,,8185,,,
4839,"0605898E","Management HQ - R&D",6,"Management Support",400,,2001,"Total",34679,,32379,,,32544,,,
4840,"0301398F","Management Headquarters GDIP",7,,3600,,2001,"Total",0,,0,,,0,,,
4841,"0301398L","Management Headquarters GDIP, DIA",7,,400,,2001,"Total",0,,0,,,0,,,
4842,"0901598C","Management HQ - MDA",6,"Management Support",400,,2001,"Total",0,,0,,,0,,,
4843,"0902198D8Z","Management HQ - OSD",6,,400,,2001,"Total",0,,0,,,0,,,
4844,"0605853N","Management, Technical & International Support",6,"Management Support",1319,,2001,"Total",17644,,17481,,,18579,,,
4845,"0203740A","Maneuver Control System",7,"Operational Systems Development",2040,,2001,"Total",48910,,48454,,,47071,,,
4846,"0207136F","Manned Destructive Suppression",7,"Operational Systems Development",3600,,2001,"Total",14670,,14535,,,13643,,,
4847,"0605625A","Manned Ground Vehicle",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
4848,"0305207F","Manned Reconnaissance Systems",7,"Operational Systems Development",3600,,2001,"Total",0,,15357,,,15357,,,
4849,"0305207G","Manned Reconnaissance Systems",7,,400,,2001,"Total",4543,,4501,,,4801,,,
4850,"0305207N","Manned Reconnaissance Systems",7,"Operational Systems Development",1319,,2001,"Total",27479,,46014,,,44520,,,
4851,"0604618D8Z","MANPADS Defense Program",5,,400,,2001,"Total",0,,0,,,0,,,
4852,"0603707N","Manpower, Personnel and Training Adv Tech Dev",3,,1319,,2001,"Total",26988,,45566,,,46494,,,
4853,"0603007A","Manpower, Personnel and Training Advanced Technology",3,"Advanced Technology Development",2040,,2001,"Total",3072,,7008,,,6844,,,
4854,"0602785A","Manpower/Personnel/Training Technology",2,"Applied Research",2040,,2001,"Total",11869,,11759,,,11658,,,
4855,"0603680F","Manufacturing Technology Program",3,"Advanced Technology Development",3600,,2001,"Total",0,,0,,,0,,,
4856,"0603640M","USMC Advanced Technology Demonstration (ATD)",3,"Advanced Technology Development",1319,,2001,"Total",54749,,60687,,,57456,,,
4857,"0603611M","Marine Corps Assault Vehicles",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",137981,,147100,,,142520,,,
4858,"0206624M","Marine Corps Combat Services Support",7,"Operational Systems Development",1319,,2001,"Total",2854,,3876,,,5670,,,
4859,"0206313M","Marine Corps Communications Systems",7,"Operational Systems Development",1319,,2001,"Total",96153,,107102,,,96438,,,
4860,"0603635M","Marine Corps Ground Combat/Support System",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",23216,,32416,,,32755,,,
4861,"0206623M","Marine Corps Ground Combat/Supporting Arms Systems",7,"Operational Systems Development",1319,,2001,"Total",22124,,39061,,,38581,,,
4862,"0602131M","Marine Corps Landing Force Technology",2,"Applied Research",1319,,2001,"Total",9793,,12180,,,12144,,,
4863,"0604612M","Marine Corps Mine Countermeasures Systems - Eng Dev",5,,1319,,2001,"Total",0,,0,,,0,,,
4864,"0603612M","Marine Corps Mine/Countermeasures Systems - Adv Dev",4,,1319,,2001,"Total",0,,0,,,0,,,
4865,"0605873M","Marine Corps Program Wide Support",6,"Management Support",1319,,2001,"Total",8091,,17727,,,21153,,,
4866,"0603763E","Marine Technology",3,,400,,2001,"Total",30304,,27937,,,25290,,,
4867,"0301303N","Maritime Intelligence",7,,1319,,2001,"Total",0,,0,,,0,,,
4868,"0708730N","Maritime Technology (MARITECH)",7,"Operational Systems Development",1319,,2001,"Total",9366,,9280,,,9013,,,
4869,"0602102F","Materials",2,"Applied Research",3600,,2001,"Total",72815,,96422,,,91975,,,
4870,"0633006D8Z","Materials - Ceramic matrix composites",3,"Advanced Technology Development (ATD)",401,,2001,"Total",0,,0,,,0,,,
4871,"0602715E","Materials and Biological Technology",2,"Applied Research",400,,2001,"Total",0,,0,,,0,,,
4872,"0602712E","Materials and Electronics Technology",2,,400,,2001,"Total",249812,,261883,,,255026,,,
4873,"0603930F","Materials for Green Propulsion",3,"Advanced technology development",3605,,2001,"Total",0,,0,,,0,,,
4874,"0602105A","Materials Technology",2,"Applied Research",2040,,2001,"Total",11557,,27304,,,30625,,,
4875,"0602234N","Materials, Electronics and Computer Technology",2,"Applied Research",1319,,2001,"Total",68076,,102377,,,100177,,,
4876,"0605706A","Materiel Systems Analysis",6,"RDT&E Management Support",2040,,2001,"Total",8737,,8657,,,8683,,,
