"","Referenced.IDV.PIID","PIID","Modification.Number","Transaction.Number","freq"
"18388","GS30FR0006","GSRPNNCW3409","0",0,1
"18389","GS30FR0006","GSRPNNCW3419","0",0,1
"18390","GS30FR0006","GSRPNNCW3439","0",0,1
"18391","GS30FR0005","GSRPNNCW3449","0",0,1
"18392","GS30FR0006","GSRPNNCW3469","0",0,1
"18393","GS30FR0006","GSRPNNCW3499","0",0,1
"18394","GS30FR0005","GSRPNNCW3569","0",0,1
"18395","GS30FR0007","GSRPNNCW3579","0",0,1
"18396","GS30FR0007","GSRPNNCW3609","0",0,1
"18397","GS30FR0005","GSRPNNCW3649","0",0,1
"18398","GS30FR0007","GSRPNNCW3699","0",0,1
"18399","GS30FR0007","GSRPNNCW3709","0",0,1
"18400","GS30FR0007","GSRPNNCW3729","0",0,1
"18401","GS30FR0007","GSRPNNCW3739","0",0,1
"18402","GS30FR0007","GSRPNNCW3779","0",0,1
"18403","GS30FR0007","GSRPNNCW3839","0",0,1
"18404","GS30FR0005","GSRPNNCW3869","0",0,1
"18405","GS30FR0007","GSRPNNCW3889","0",0,1
"18406","GS30FR0005","GSRPNNCW3929","0",0,1
"18407","GS30FR0007","GSRPNNCW3959","0",0,1
"18408","GS30FR0007","GSRPNNCW4009","0",0,1
"18409","GS30FR0007","GSRPNNCW4039","0",0,1
"18410","GS30FR0006","GSRPNNCW4079","0",0,1
"18411","GS30FR0006","GSRPNNCW4099","0",0,1
"18412","GS30FR0005","GSRPNNCW4129","0",0,1
"18413","GS30FR0005","GSRPNNCW4169","0",0,1
"18414","GS30FR0005","GSRPNNCW4219","0",0,1
"18415","GS30FR0007","GSRPNNCW4229","0",0,1
"18416","GS30FR0007","GSRPNNCW4239","0",0,1
"18417","GS30FR0006","GSRPNNCW4279","0",0,1
"18418","GS30FR0007","GSRPNNCW4299","0",0,1
"18419","GS30FR0006","GSRPNNCW4309","0",0,1
"18420","GS30FR0007","GSRPNNCW4329","0",0,1
"18421","GS30FR0006","GSRPNNCW4379","0",0,1
"18422","GS30FR0006","GSRPNNCW4399","0",0,1
"18423","GS30FR0007","GSRPNNCW4429","0",0,1
"18424","GS30FR0006","GSRPNNCW4489","0",0,1
"18425","GS30FR0007","GSRPNNCW4519","0",0,1
"18426","GS30FR0006","GSRPNNCW4529","0",0,1
"18427","GS30FR0006","GSRPNNCW4559","0",0,1
"18428","GS30FR0005","GSRPNNCW4569","0",0,1
"18429","GS30FR0006","GSRPNNCW4609","0",0,1
"18430","GS30FR0005","GSRPNNCW4619","0",0,1
"18431","GS30FR0006","GSRPNNCW4659","0",0,1
