SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2002,ARMY,LONGBOW HELLFIRE,1996,PdE," 2,352.00 "," 2,635.60 "," 13,311.00 ", 103.80 , (60.30), (406.00)," 2,455.80 "," 2,575.30 "," 12,905.00 ", 6.30 , (0.20)
12/1/2002,ARMY,MCS,1980,DE, 106.90 , 232.10 , 947.00 , 503.10 ," 1,103.70 "," 7,682.00 ", 610.00 ," 1,335.80 "," 8,629.00 ", (40.90), (46.50)
12/1/2002,ARMY,PATRIOT PAC-3,2002,DE/PdE," 6,585.40 "," 6,381.60 "," 1,254.00 "," 6,049.40 "," 6,265.80 ", 33.00 ," 12,634.80 "," 12,647.40 "," 1,287.00 ", 65.00 , 79.00 
12/1/2002,ARMY,SMART-T,1999,PdE, 766.50 , 780.40 , 313.00 , 162.50 , 190.60 , (12.00), 929.00 , 971.00 , 301.00 , 23.20 , 26.40 
12/1/2002,ARMY,STRYKER (IAV),2000,DE," 6,480.80 "," 7,120.20 "," 2,131.00 ", 195.60 , 58.90 , (10.00)," 6,676.40 "," 7,179.10 "," 2,121.00 ", 3.50 , 1.30 
12/1/2002,ARMY,Army Subtotal,,," 125,515.40 "," 158,528.50 ",," 16,342.60 "," 8,419.00 ",," 141,858.00 "," 166,947.50 ",, 23.30 , 15.90 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2002,NAVY,AAAV,1993,DE," 6,650.40 "," 8,725.20 "," 1,025.00 "," 1,438.60 "," 1,897.60 ", - ," 8,089.00 "," 10,622.80 "," 1,025.00 ", 21.60 , 21.70 
12/1/2002,NAVY,AESA (RDT&E),2000,DE, 494.80 , 525.20 , - , 26.40 , 21.10 , - , 521.20 , 546.30 , - , 5.30 , 4.00 
12/1/2002,NAVY,AIM-9X,1997,DE," 2,464.00 "," 3,232.90 "," 10,049.00 ", 50.80 , (224.90), 93.00 ," 2,514.80 "," 3,008.00 "," 10,142.00 ", 1.50 , (7.50)
12/1/2002,NAVY,AV-8B REMANUFACTURE,1994,PdE," 1,843.00 "," 2,158.40 ", 73.00 , 156.00 , 10.70 , 1.00 ," 1,999.00 "," 2,169.10 ", 74.00 , 7.30 , (0.50)
12/1/2002,NAVY,CEC,2002,PdE," 4,123.30 "," 4,310.70 ", 272.00 , 272.60 , 263.50 , 29.00 ," 4,395.90 "," 4,574.20 ", 301.00 , 4.50 , 4.00 
12/1/2002,NAVY,CVN 21 (RDT&E Only),2000,PE," 3,159.80 "," 3,587.60 ", - , 172.20 , 48.20 , - ," 3,332.00 "," 3,635.80 ", - , 5.40 , 1.30 
12/1/2002,NAVY,CVN 68,1995,PdE," 8,467.90 "," 9,838.00 ", 2.00 ," 1,104.80 ", 450.30 , - ," 9,572.70 "," 10,288.30 ", 2.00 , 13.00 , 4.60 
12/1/2002,NAVY,DD(X) (RDT&E Only),1996,PE," 1,754.00 "," 2,089.00 ", - ," 7,370.30 "," 8,290.00 ", 1.00 ," 9,124.30 "," 10,379.00 ", 1.00 , 420.20 , 396.80 
12/1/2002,NAVY,DDG 51,1987,PdE," 16,953.70 "," 20,117.50 ", 23.00 ," 30,483.20 "," 42,685.20 ", 39.00 ," 47,436.90 "," 62,802.70 ", 62.00 , 13.90 , 10.10 
12/1/2002,NAVY,E-2C REPRODUCTION,1994,PdE," 2,627.70 "," 3,187.90 ", 36.00 ," 1,251.50 "," 1,147.80 ", 8.00 ," 3,879.20 "," 4,335.70 ", 44.00 , 24.90 , 15.10 
12/1/2002,NAVY,F/A-18 E/F,2000,PdE," 43,489.60 "," 46,825.70 ", 548.00 ," 4,084.60 "," 3,924.50 ", 4.00 ," 47,574.20 "," 50,750.20 ", 552.00 , 8.80 , 7.80 
12/1/2002,NAVY,JSOW,1990,DE," 6,927.20 "," 11,205.90 "," 23,924.00 "," (3,291.60)"," (6,247.00)"," (9,113.00)"," 3,635.60 "," 4,958.90 "," 14,811.00 ", (31.90), (42.70)
12/1/2002,NAVY,LHD 1,1982,DE," 2,931.80 "," 4,451.00 ", 3.00 ," 4,393.70 "," 5,433.00 ", 5.00 ," 7,325.50 "," 9,884.00 ", 8.00 , 2.30 , (13.30)
12/1/2002,NAVY,LPD 17,1996,DE," 9,018.10 "," 10,761.80 ", 12.00 ," 4,381.50 "," 4,849.80 ", - ," 13,399.60 "," 15,611.60 ", 12.00 , 48.60 , 44.20 
12/1/2002,NAVY,MH-60R,1993,DE," 4,020.50 "," 5,636.40 ", 188.00 ," 3,968.20 "," 4,430.30 ", 55.00 ," 7,988.70 "," 10,066.70 ", 243.00 , 69.60 , 53.40 
12/1/2002,NAVY,MH-60S,1998,PdE," 2,769.00 "," 3,154.00 ", 166.00 ," 2,590.10 "," 2,878.20 ", 71.00 ," 5,359.10 "," 6,032.20 ", 237.00 , 45.00 , 40.00 
12/1/2002,NAVY,MIDS-LVT,1992,DE, 924.90 ," 1,119.50 ", 672.00 , 545.50 , 607.00 ," 2,251.00 "," 1,470.40 "," 1,726.50 "," 2,923.00 ", 6.10 , 1.90 
12/1/2002,NAVY,NESP,1990,PdE," 1,876.60 "," 2,373.70 ", 393.00 , (74.70), (310.60), 127.00 ," 1,801.90 "," 2,063.10 ", 520.00 , (12.60), (20.60)
12/1/2002,NAVY,SM 2,1984,DE," 8,770.10 "," 11,067.20 "," 13,778.00 ", (92.60), (217.30)," (2,113.00)"," 8,677.50 "," 10,849.90 "," 11,665.00 ", 18.60 , 30.70 
12/1/2002,NAVY,SSN 774 (VA CLASS),1995,DE," 45,633.10 "," 71,080.80 ", 30.00 ," 19,114.40 "," 10,711.40 ", - ," 64,747.50 "," 81,792.20 ", 30.00 , 41.90 , 15.10 
12/1/2002,NAVY,T-45TS,1995,PdE," 5,528.10 "," 5,599.50 ", 176.00 , 817.90 , 709.40 , 35.00 ," 6,346.00 "," 6,308.90 ", 211.00 , 3.60 , 1.50 
12/1/2002,NAVY,T-AKE,2000,PdE," 4,262.60 "," 4,890.20 ", 12.00 , (254.50), (467.50), (1.00)," 4,008.10 "," 4,422.70 ", 11.00 , 1.80 , (1.50)
